time,forest_area_%_of_land_area,urban_population_%_of_total_population,urban_population_growth_annual_%,urban_population,urban_land_area_sq_km,rural_population,rural_population_%_of_total_population,Kenya [KEN] - Rural population growth (annual %) [SP.RUR.TOTL.ZG],population_density_people_per_sq_km_of_land_area,population_growth_annual_%,unemployment_total_%_of_total_labor_force,gdp_growth_annual_%,gdp_current_US$,current_health_expenditure_%_of_gdp,domestic_general_government_health_expenditure_%_of_current_health_expenditure,domestic_general_government_health_expenditure_%_of_gdp,proportion_of_population_pushed_below_the_$2.15_$_2017_PPP_poverty_line_by_out_of_pocket_health_care_expenditure_%
1994,6.85174122360052,17.952,4.60491054512765,4691530,..,21442214,82.048,2.50651225147274,45.9179534033805,2.87998841109113,..,2.632784517837,7148148564.04239,..,..,..,..
1995,6.86977720771691,18.263,4.52693314684529,4908793,..,21969554,81.737,2.42959899842942,47.2262483747408,2.8093665377808,..,4.40621652482287,9046320196.77295,..,..,..,..
1996,6.88781319183329,18.579,4.42194727064454,5130728,..,22485008,81.421,2.31911902345448,48.5218680816671,2.70647369514666,..,4.14683926876013,12045865466.4343,..,..,..,..
1997,6.90584917594968,18.898,4.37684665211023,5360279,..,23003985,81.102,2.28186857754259,49.8370594229891,2.67442877916419,..,0.474901921293579,13115764432.7232,..,..,..,..
1998,6.92388516006606,19.222,4.38909190679726,5600786,..,23536587,80.778,2.28886422739435,51.1954404891591,2.68916027366031,..,3.29021372249065,14093998843.7334,..,..,..,..
1999,6.94192114418245,19.55,4.49325422136152,5858183,..,24106946,80.45,2.3943910673331,52.6498383526022,2.80126932153904,10,2.30538859522412,12896010520.4958,..,..,..,..
2000,6.95995712829884,19.892,4.6496699104578,6137001,2197.79003314991,24714605,80.108,2.48943496961009,54.207411181783,2.91544684198394,..,0.599695390807426,12705350153.4012,2.49379516,27.54567719,0.68693274,..
2001,6.89936570966722,20.239,4.75820744129826,6436071,..,25364272,79.761,2.59472052067152,55.8743771304073,3.02882685482353,..,3.77990649795343,12986007425.8781,2.6706605,28.12321281,0.75107551,..
2002,6.8387742910356,20.591,4.75787616026489,6749693,..,26030130,79.409,2.59131435905464,57.5953596654602,3.03360977756994,..,0.546859530175595,13147736954.17,2.62076211,28.84060669,0.7558437,..
2003,6.77818287240398,20.948,4.68636153255088,7073537,..,26693585,79.052,2.51685611349183,59.3300804722915,2.96744335273422,..,2.93247554570904,14904517649.8476,2.84449434,27.70645523,0.78810853,..
